Id Error,Fecha,Hora,Id Juego,Id Usuario
000002,19/11/2018,12:58:38,001,0001
000003,19/11/2018,12:59:58,001,0001
000004,19/11/2018,13:00:28,001,0001
000005,19/11/2018,15:21:15,001,0001
000006,27/11/2018,15:36:58,001,0001
000007,27/11/2018,15:45:31,001,0001
000008,27/11/2018,15:49:24,001,0001
000009,27/11/2018,15:52:05,002,0001
000010,27/11/2018,15:55:39,002,0001
000011,27/11/2018,16:37:41,002,0001
000012,27/11/2018,16:37:50,001,0001
000013,27/11/2018,16:39:37,002,0001
000014,27/11/2018,16:40:57,002,0001
000015,27/11/2018,16:41:56,001,0001
000016,27/11/2018,16:42:53,002,0001
000017,27/11/2018,17:22:46,001,0001
000018,27/11/2018,17:29:30,002,0001
