Id Ingreso,Fecha,Hora,Id Juego,Minutos,Tarifa
000007,15/11/2018,23:43:17,001,1,500
000008,15/11/2018,23:44:14,001,1,500
000009,15/11/2018,23:44:45,001,1,500
000010,15/11/2018,23:46:08,001,2,500
000011,16/11/2018,11:13:08,001,1,500
000012,16/11/2018,12:17:20,001,1,500
000013,16/11/2018,14:29:12,001,1,500
000014,16/11/2018,14:38:23,002,1,500
000015,16/11/2018,14:42:44,002,1,500
000016,17/11/2018,11:05:14,003,1,500
000017,17/11/2018,17:45:34,001,1,500
000018,17/11/2018,18:38:19,001,1,500
000019,17/11/2018,18:41:55,001,1,500
000020,27/11/2018,15:37:15,001,1,500
